Platform Code,Rank,Club ID,Club Name,Skill Rating,Best Division,Current Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals Per Game,Goals Against Per Game,Reputation Level
nx,43,640329,Foot de Rue ext,1609,1,4,393,88,365,846,2627,2603,99,3.11,3.08,9
nx,44,1409835,157Furia,1608,4,4,16,1,6,23,58,32,6,2.52,1.39,1
nx,45,938266,Los Boludos CF,1608,4,6,18,3,14,35,105,104,5,3.00,2.97,2
nx,46,1132586,rashyfats,1601,4,4,10,5,5,20,59,45,5,2.95,2.25,1
nx,47,31550,FC MASCHINE,1600,2,3,130,58,99,287,676,616,47,2.36,2.15,6
nx,48,908342,Do Brazill FC,1593,6,6,8,1,8,17,48,41,2,2.82,2.41,1
nx,49,427519,Pompeyo FC,1593,6,6,4,0,0,4,14,4,1,3.50,1.00,1
nx,50,903784,fc vortex 93,1591,6,6,5,0,3,8,23,19,1,2.88,2.38,1
nx,51,113427,Root Athletic,1591,5,6,16,2,19,37,89,114,5,2.41,3.08,1
nx,52,126307,Calabazas,1587,4,6,30,3,28,61,192,213,5,3.15,3.49,2
nx,53,213525,THE DEATH DUO,1586,6,6,4,0,1,5,15,15,0,3.00,3.00,1
nx,54,1026517,fcfarhane,1580,4,4,12,1,6,19,57,46,5,3.00,2.42,1
nx,55,729755,the king fc,1579,4,6,28,5,25,58,204,147,14,3.52,2.53,2
nx,56,1068700,Maporal,1576,5,5,6,3,2,11,37,25,0,3.36,2.27,1
nx,57,1278549,test rfc,1572,5,5,8,3,3,14,44,32,4,3.14,2.29,1
nx,58,957424,UNREAL MADRIDCF,1572,2,5,171,39,148,358,1199,1193,29,3.35,3.33,6
nx,59,560385,Barmitzva NM,1572,3,6,47,10,38,95,338,287,15,3.56,3.02,3
nx,60,1035567,Faitbeleke,1571,5,5,3,2,0,5,15,7,2,3.00,1.40,1
nx,61,1392595,DS FC,1570,5,5,5,1,2,8,28,14,2,3.50,1.75,1
